D:/ETP trial survey/Jason's Computer/20191120/20191120_3_100m_30km_Whales/錄製_2019_11_20_10_13_54_900.mp4,43472,229,885,235,896,10,240.5996814,15.17067323,[-1],1
D:/ETP trial survey/Jason's Computer/20191129/20191129_6/錄製_2019_11_29_16_14_59_189.mp4,31677,127,606,141,658,10,28.38828323,1.748959993,[79],2
D:/ETP trial survey/Jason's Computer/20191120/20191120_3_100m_30km_Whales/錄製_2019_11_20_10_13_54_900.mp4,44691,88,1325,93,1332,10,273.5090913,17.2457296,[0],3
D:/ETP trial survey/Jason's Computer/20191128/20191128_6/錄製_2019_11_28_12_05_07_124.mp4,30440,749,550,758,556,10,0,0,[1097],4
D:/ETP trial survey/Jason's Computer/20191129/20191129_4/錄製_2019_11_29_13_07_47_434.mp4,58144,749,1580,757,1598,5,208.1155956,12.76559889,[1],5
D:/ETP trial survey/Jason's Computer/20191123/20191123_4_BigschoolDolphin/錄製_2019_11_23_16_16_02_506.mp4,33228,291,1816,316,1825,10,117.6924445,8.90699608,[2],6
D:/ETP trial survey/Jason's Computer/20191128/20191128_7/錄製_2019_11_28_12_59_28_589.mp4,70513,44,1825,56,1841,10,0,0,[1097],7
D:/ETP trial survey/Jason's Computer/20191124/20191124_1_BigSchoolDolphin/錄製_2019_11_24_16_10_26_600.mp4,35018,346,1582,361,1589,10,0,0,[1097],8
D:/ETP trial survey/Jason's Computer/20191129/20191129_6/錄製_2019_11_29_16_14_59_189.mp4,24340,726,1398,750,1435,10,272.4793689,16.90837338,[0],9
D:/ETP trial survey/Jason's Computer/20191129/20191129_6/錄製_2019_11_29_16_14_59_189.mp4,27767,771,1959,782,1990,10,0,0,[1097],10
D:/ETP trial survey/Jason's Computer/20191128/20191128_3_Dolphin/錄製_2019_11_28_09_42_38_725.mp4,39544,403,488,411,515,5,101.0040679,6.399330749,[7],11
D:/ETP trial survey/Jason's Computer/20191128/20191128_6/錄製_2019_11_28_12_05_07_124.mp4,44818,744,1030,762,1041,10,0,0,[1097],12
D:/ETP trial survey/Jason's Computer/20191120/20191120_3_100m_30km_Whales/錄製_2019_11_20_10_13_54_900.mp4,43495,73,1112,80,1122,5,370.2416234,23.34506284,[-1],13
D:/ETP trial survey/Jason's Computer/20191128/20191128_3_Dolphin/錄製_2019_11_28_09_42_38_725.mp4,51400,228,1166,233,1174,10,296.4383708,22.04118085,[-1],14
D:/ETP trial survey/Jason's Computer/20191129/20191129_6/錄製_2019_11_29_16_14_59_189.mp4,32137,694,1474,703,1503,10,258.90569,16.05657055,[-1],15
D:/ETP trial survey/Jason's Computer/20191121/20191121_1/錄製_2019_11_21_07_25_55_214.mp4,57000,442,1503,450,1520,10,517.6789804,32.43865588,[-1],16
